node_id,growth_stage,terrace_elevation,slope_degree,bund_height_m,weather_forecast,moisture_pct,acoustic_velocity,ec_ds_m,temperature_c,humidity_pct,ml_label
T1-00035,grain_filling,1,12.5,0.45,cloudy,17.24,1540.09,1.4,26.54,76.67,0
T2-00036,heading,2,14.0,0.5,sunny,31.81,1533.88,1.43,25.97,58.09,0
T2-00037,maturity,2,14.0,0.5,heavy_rain,7.54,1554.77,1.05,22.62,87.44,1
T1-00038,maturity,1,12.5,0.45,sunny,6.74,1542.68,1.28,33.29,57.86,0
T2-00039,grain_filling,2,14.0,0.5,sunny,21.89,1541.63,0.66,30.62,62.2,0
T1-00040,heading,1,12.5,0.45,sunny,30.08,1538.64,0.86,32.02,44.54,0
T2-00041,grain_filling,2,14.0,0.5,heavy_rain,3.04,1544.25,1.68,21.58,47.2,1
T2-00042,tillering,2,14.0,0.5,cloudy,11.76,1537.01,1.15,26.95,44.28,0
T2-00043,grain_filling,2,14.0,0.5,sunny,0.0,1560.98,1.96,27.15,85.58,1
T2-00044,maturity,2,14.0,0.5,sunny,3.83,1562.48,0.8,34.17,68.73,0
T3-00045,panicle_initiation,3,15.5,0.65,sunny,24.03,1536.73,1.11,29.15,69.9,0
T2-00046,maturity,2,14.0,0.5,sunny,10.22,1548.9,1.36,27.34,57.25,0
T1-00047,panicle_initiation,1,12.5,0.45,sunny,2.01,1548.05,2.0,26.19,80.44,1
T3-00048,seedling,3,15.5,0.65,sunny,26.83,1532.67,1.95,28.17,84.84,0
T3-00049,maturity,3,15.5,0.65,cloudy,5.12,1533.61,1.76,24.75,83.35,1
T1-00050,tillering,1,12.5,0.45,sunny,2.38,1540.9,1.9,21.71,48.56,1
T3-00051,seedling,3,15.5,0.65,sunny,2.49,1539.25,0.95,29.74,65.7,1
T1-00052,tillering,1,12.5,0.45,sunny,13.01,1534.82,0.87,34.79,55.93,0
T2-00053,tillering,2,14.0,0.5,heavy_rain,3.18,1534.02,1.85,34.89,86.74,1
T2-00054,grain_filling,2,14.0,0.5,cloudy,4.3,1538.99,1.14,31.77,49.52,1
T3-00055,grain_filling,3,15.5,0.65,heavy_rain,14.68,1544.32,1.12,28.45,45.22,0
T3-00056,maturity,3,15.5,0.65,sunny,8.6,1530.09,1.93,26.2,68.85,0
T2-00057,panicle_initiation,2,14.0,0.5,heavy_rain,28.71,1544.97,1.71,27.1,71.74,0
T3-00058,heading,3,15.5,0.65,sunny,26.32,1550.88,0.89,34.63,73.5,0
T3-00059,maturity,3,15.5,0.65,heavy_rain,3.8,1544.54,2.0,32.2,75.04,0
T3-00060,grain_filling,3,15.5,0.65,heavy_rain,19.68,1557.61,1.03,31.89,43.71,0
T3-00061,grain_filling,3,15.5,0.65,sunny,5.86,1560.78,1.89,35.33,84.11,1
T3-00062,maturity,3,15.5,0.65,sunny,6.59,1561.9,1.88,26.04,83.62,0
T1-00063,grain_filling,1,12.5,0.45,sunny,21.59,1525.81,1.31,22.79,79.51,0
T2-00064,grain_filling,2,14.0,0.5,cloudy,24.65,1527.95,1.74,29.11,68.9,0
T3-00065,seedling,3,15.5,0.65,heavy_rain,5.16,1544.8,1.51,24.72,58.31,1
T1-00066,panicle_initiation,1,12.5,0.45,cloudy,23.75,1532.75,1.27,23.42,44.02,0
T2-00067,tillering,2,14.0,0.5,heavy_rain,9.23,1516.32,0.9,21.04,66.78,0
T2-00068,panicle_initiation,2,14.0,0.5,cloudy,16.72,1531.12,1.1,24.85,58.45,0
T2-00069,heading,2,14.0,0.5,heavy_rain,41.02,1531.2,0.24,25.11,65.92,2
T3-00070,panicle_initiation,3,15.5,0.65,heavy_rain,8.04,1550.04,0.81,34.08,67.23,1
T3-00071,grain_filling,3,15.5,0.65,sunny,18.89,1513.09,1.1,21.09,60.31,0
T2-00072,maturity,2,14.0,0.5,sunny,3.22,1556.87,1.57,34.26,57.33,1
T2-00073,panicle_initiation,2,14.0,0.5,heavy_rain,27.98,1539.11,1.94,33.2,48.31,0
T1-00074,grain_filling,1,12.5,0.45,heavy_rain,16.87,1543.54,0.58,29.11,66.66,0
T3-00075,panicle_initiation,3,15.5,0.65,heavy_rain,22.59,1529.0,0.49,25.15,65.74,0
T3-00076,maturity,3,15.5,0.65,sunny,13.23,1543.95,1.75,24.7,60.1,0
T1-00077,heading,1,12.5,0.45,heavy_rain,45.45,1552.42,0.13,31.43,81.24,2
T3-00078,tillering,3,15.5,0.65,sunny,8.69,1524.39,0.6,24.13,53.89,0
T1-00079,maturity,1,12.5,0.45,cloudy,1.66,1540.46,0.8,19.77,77.38,1
T2-00080,panicle_initiation,2,14.0,0.5,cloudy,30.07,1531.54,0.72,21.97,74.7,0
T3-00081,heading,3,15.5,0.65,cloudy,31.39,1518.76,1.83,20.07,48.38,0
T3-00082,maturity,3,15.5,0.65,cloudy,10.53,1516.2,1.4,18.88,40.1,0
T3-00083,seedling,3,15.5,0.65,heavy_rain,23.96,1539.19,1.88,22.76,55.38,0
T3-00084,maturity,3,15.5,0.65,heavy_rain,15.08,1544.38,1.53,26.61,83.94,0
T1-00085,tillering,1,12.5,0.45,cloudy,10.02,1535.97,1.75,24.15,51.29,0
T3-00086,grain_filling,3,15.5,0.65,sunny,3.57,1566.53,0.43,34.95,73.86,1
T3-00087,maturity,3,15.5,0.65,cloudy,10.07,1541.46,1.95,36.56,56.06,0
T1-00088,heading,1,12.5,0.45,sunny,30.79,1558.37,1.08,40.59,16.01,1
T2-00089,maturity,2,14.0,0.5,sunny,5.92,1557.27,1.28,30.75,42.22,0
T3-00090,tillering,3,15.5,0.65,cloudy,6.51,1542.16,0.97,26.63,79.42,1
T2-00091,maturity,2,14.0,0.5,cloudy,3.44,1532.62,1.31,25.0,89.04,1
T1-00092,grain_filling,1,12.5,0.45,sunny,27.01,1528.37,1.42,27.31,58.16,0
T2-00093,maturity,2,14.0,0.5,cloudy,9.32,1522.27,1.73,28.37,58.45,0
T2-00094,grain_filling,2,14.0,0.5,cloudy,21.56,1543.21,1.27,29.08,51.75,0
T1-00095,maturity,1,12.5,0.45,heavy_rain,5.64,1554.53,1.45,31.3,83.23,1
T2-00096,tillering,2,14.0,0.5,cloudy,12.14,1538.02,0.8,27.1,75.95,0
T1-00097,seedling,1,12.5,0.45,sunny,28.24,1544.54,1.23,31.38,49.86,0
T2-00098,seedling,2,14.0,0.5,heavy_rain,30.2,1516.58,0.89,22.15,77.69,0
T1-00099,heading,1,12.5,0.45,sunny,34.03,1536.2,0.74,34.79,20.77,1
T1-00100,maturity,1,12.5,0.45,heavy_rain,11.12,1556.75,1.44,33.62,39.04,0
T1-00101,tillering,1,12.5,0.45,sunny,12.77,1557.17,1.47,28.43,80.63,0
T3-00102,maturity,3,15.5,0.65,cloudy,9.89,1544.7,0.86,28.43,55.8,1
T2-00103,heading,2,14.0,0.5,cloudy,5.48,1548.56,0.69,24.12,46.53,1
T1-00104,heading,1,12.5,0.45,sunny,31.16,1533.31,1.87,20.33,52.23,0
T2-00105,maturity,2,14.0,0.5,sunny,1.45,1547.38,1.93,36.28,92.48,1
T2-00106,seedling,2,14.0,0.5,cloudy,7.56,1571.59,0.45,34.51,44.67,1
T3-00107,maturity,3,15.5,0.65,sunny,9.6,1528.34,1.37,21.08,80.17,0
T2-00108,heading,2,14.0,0.5,sunny,4.45,1550.77,1.38,31.99,67.39,1
T2-00109,heading,2,14.0,0.5,cloudy,28.37,1537.58,1.75,25.21,50.26,0
T3-00110,seedling,3,15.5,0.65,cloudy,25.44,1538.26,1.09,30.01,71.67,0
T2-00111,tillering,2,14.0,0.5,heavy_rain,8.46,1525.76,1.44,26.3,63.6,0
T1-00112,panicle_initiation,1,12.5,0.45,sunny,19.0,1528.55,1.17,25.69,86.28,0
T2-00113,panicle_initiation,2,14.0,0.5,cloudy,21.86,1525.21,1.62,22.49,71.58,0
T3-00114,heading,3,15.5,0.65,heavy_rain,26.07,1543.93,1.23,28.53,49.09,0
T3-00115,heading,3,15.5,0.65,heavy_rain,5.42,1561.26,1.78,23.71,44.3,1
T2-00116,maturity,2,14.0,0.5,cloudy,2.49,1568.36,0.6,28.38,58.83,1
T2-00117,maturity,2,14.0,0.5,heavy_rain,4.87,1560.07,1.21,35.91,78.15,1
T1-00118,grain_filling,1,12.5,0.45,cloudy,19.24,1534.36,1.16,27.89,78.43,0
T3-00119,maturity,3,15.5,0.65,sunny,3.07,1547.11,1.23,26.31,58.08,0
T1-00120,heading,1,12.5,0.45,cloudy,30.75,1528.98,1.84,28.16,63.84,0
T3-00121,panicle_initiation,3,15.5,0.65,heavy_rain,29.96,1536.25,1.68,26.06,76.73,0
T3-00122,grain_filling,3,15.5,0.65,cloudy,26.62,1555.02,1.12,31.69,55.16,0
T2-00123,seedling,2,14.0,0.5,sunny,30.34,1552.76,1.71,30.35,79.92,0
T1-00124,maturity,1,12.5,0.45,heavy_rain,10.52,1552.21,1.8,36.28,58.06,0
T1-00125,tillering,1,12.5,0.45,cloudy,7.38,1539.16,1.4,30.47,64.33,0
T2-00126,panicle_initiation,2,14.0,0.5,heavy_rain,2.76,1558.42,0.92,29.21,92.39,1
T2-00127,seedling,2,14.0,0.5,sunny,5.36,1574.44,0.91,24.78,53.2,1
T3-00128,panicle_initiation,3,15.5,0.65,heavy_rain,16.49,1535.19,0.85,24.04,78.02,0
T2-00129,heading,2,14.0,0.5,cloudy,8.51,1545.15,2.01,31.09,75.82,1
T2-00130,grain_filling,2,14.0,0.5,cloudy,17.35,1544.22,0.98,31.83,77.23,0
T3-00131,maturity,3,15.5,0.65,heavy_rain,8.57,1541.97,0.98,32.17,40.01,0
T1-00132,seedling,1,12.5,0.45,sunny,9.33,1549.15,1.81,30.57,88.25,1
T3-00133,maturity,3,15.5,0.65,sunny,7.08,1544.66,1.8,28.99,66.73,0
T1-00134,heading,1,12.5,0.45,sunny,33.04,1541.18,0.53,35.95,13.97,1
T1-00135,seedling,1,12.5,0.45,sunny,28.78,1515.79,1.61,21.71,79.61,0
T2-00136,panicle_initiation,2,14.0,0.5,sunny,27.37,1535.35,1.04,24.52,81.69,0
T3-00137,panicle_initiation,3,15.5,0.65,sunny,6.14,1542.55,0.53,26.93,78.51,1
T3-00138,heading,3,15.5,0.65,sunny,29.99,1534.51,1.07,30.53,68.87,0
T1-00139,tillering,1,12.5,0.45,cloudy,11.39,1556.5,1.47,34.06,34.09,0
T3-00140,heading,3,15.5,0.65,cloudy,29.45,1545.7,2.0,32.85,76.19,0
T1-00141,heading,1,12.5,0.45,heavy_rain,34.02,1523.63,1.03,21.05,62.61,0
T2-00142,maturity,2,14.0,0.5,cloudy,11.29,1549.95,1.21,34.32,42.12,0
T2-00143,grain_filling,2,14.0,0.5,heavy_rain,17.51,1547.05,1.31,31.21,66.95,0
T3-00144,panicle_initiation,3,15.5,0.65,cloudy,25.11,1527.22,0.84,28.42,91.3,0
T2-00145,tillering,2,14.0,0.5,cloudy,4.4,1544.92,1.71,34.41,85.57,0
T3-00146,grain_filling,3,15.5,0.65,heavy_rain,10.4,1536.72,1.0,31.37,79.3,1
T2-00147,seedling,2,14.0,0.5,cloudy,6.24,1549.44,1.91,24.09,81.54,1
T2-00148,tillering,2,14.0,0.5,cloudy,12.07,1551.88,0.91,33.33,79.48,0
T2-00149,grain_filling,2,14.0,0.5,cloudy,5.01,1552.78,0.98,21.09,43.77,1
T2-00150,grain_filling,2,14.0,0.5,heavy_rain,49.39,1546.46,0.2,29.09,41.69,2
T3-00151,panicle_initiation,3,15.5,0.65,cloudy,29.04,1529.55,0.74,19.79,70.47,0
T2-00152,seedling,2,14.0,0.5,sunny,7.74,1549.1,1.81,27.91,52.71,1
T3-00153,maturity,3,15.5,0.65,heavy_rain,2.81,1530.34,1.41,25.64,41.83,1
T1-00154,tillering,1,12.5,0.45,heavy_rain,43.23,1549.25,0.19,30.02,92.83,2
T1-00155,panicle_initiation,1,12.5,0.45,sunny,3.85,1543.1,1.67,30.18,55.15,1
T2-00156,maturity,2,14.0,0.5,heavy_rain,46.04,1555.7,0.3,35.32,64.69,2
T3-00157,panicle_initiation,3,15.5,0.65,sunny,6.69,1537.0,1.05,26.91,67.32,1
T2-00158,panicle_initiation,2,14.0,0.5,sunny,27.92,1544.36,1.11,30.04,59.68,0
T2-00159,tillering,2,14.0,0.5,cloudy,5.56,1525.76,1.14,29.56,72.7,1
T2-00160,panicle_initiation,2,14.0,0.5,sunny,26.97,1537.25,1.09,31.75,85.04,0
T3-00161,seedling,3,15.5,0.65,sunny,32.87,1523.64,1.0,21.58,55.72,0
T1-00162,heading,1,12.5,0.45,heavy_rain,27.01,1539.33,1.15,32.43,90.86,0
T1-00163,grain_filling,1,12.5,0.45,heavy_rain,14.24,1530.04,1.98,23.3,54.38,0
T1-00164,heading,1,12.5,0.45,sunny,29.85,1548.42,1.34,23.13,42.61,0
T3-00165,panicle_initiation,3,15.5,0.65,heavy_rain,27.68,1524.14,1.93,21.39,50.15,0
T2-00166,heading,2,14.0,0.5,heavy_rain,31.78,1563.54,0.98,39.19,18.08,1
T1-00167,maturity,1,12.5,0.45,heavy_rain,46.46,1540.99,0.37,31.83,73.43,2
T3-00168,seedling,3,15.5,0.65,heavy_rain,27.81,1530.12,1.13,22.51,54.23,0
T1-00169,panicle_initiation,1,12.5,0.45,heavy_rain,47.23,1543.41,0.37,31.78,80.35,2
T2-00170,grain_filling,2,14.0,0.5,heavy_rain,5.42,1540.41,1.51,18.58,57.34,1
T1-00171,panicle_initiation,1,12.5,0.45,sunny,21.74,1534.15,1.27,23.58,49.04,0
T1-00172,grain_filling,1,12.5,0.45,sunny,26.24,1531.3,1.84,25.76,48.09,0
T2-00173,maturity,2,14.0,0.5,sunny,12.81,1551.72,1.61,32.88,88.43,0
T3-00174,tillering,3,15.5,0.65,cloudy,6.84,1548.49,1.56,19.92,53.07,1
T2-00175,heading,2,14.0,0.5,sunny,28.78,1533.18,1.95,23.26,88.78,0
T1-00176,maturity,1,12.5,0.45,heavy_rain,13.05,1539.8,1.41,26.04,45.84,0
T2-00177,tillering,2,14.0,0.5,sunny,14.42,1535.97,1.21,22.11,78.2,0
T2-00178,tillering,2,14.0,0.5,sunny,4.99,1545.11,1.51,32.52,62.88,1
T3-00179,grain_filling,3,15.5,0.65,heavy_rain,17.89,1538.92,1.18,27.72,83.77,0
T3-00180,tillering,3,15.5,0.65,heavy_rain,11.82,1534.68,0.96,30.53,54.91,0
T2-00181,grain_filling,2,14.0,0.5,sunny,17.87,1549.52,1.6,31.73,50.22,0
T1-00182,tillering,1,12.5,0.45,cloudy,10.33,1542.67,0.8,29.12,65.6,0
T2-00183,tillering,2,14.0,0.5,heavy_rain,8.72,1519.86,1.17,24.01,64.0,0
T1-00184,seedling,1,12.5,0.45,cloudy,8.39,1548.95,1.79,24.91,70.3,1
T1-00185,panicle_initiation,1,12.5,0.45,sunny,26.78,1535.18,1.25,23.22,72.19,0
T1-00186,panicle_initiation,1,12.5,0.45,sunny,18.69,1537.35,0.54,33.3,59.82,0
T2-00187,heading,2,14.0,0.5,heavy_rain,25.94,1524.61,1.55,26.72,63.86,0
T3-00188,panicle_initiation,3,15.5,0.65,sunny,22.83,1536.77,0.53,22.63,55.0,0
T2-00189,seedling,2,14.0,0.5,cloudy,29.08,1521.3,1.4,20.8,85.88,0
T3-00190,maturity,3,15.5,0.65,sunny,10.54,1537.62,1.71,31.72,50.8,0
T1-00191,seedling,1,12.5,0.45,sunny,30.14,1537.58,0.79,27.32,50.91,0
T3-00192,maturity,3,15.5,0.65,sunny,9.57,1515.11,1.97,20.69,89.58,0
T3-00193,tillering,3,15.5,0.65,heavy_rain,12.77,1552.26,1.26,29.24,55.07,0
T2-00194,seedling,2,14.0,0.5,cloudy,21.78,1528.95,1.02,23.61,60.55,0
T3-00195,maturity,3,15.5,0.65,sunny,5.84,1552.17,0.69,34.22,44.38,1
T1-00196,seedling,1,12.5,0.45,heavy_rain,1.1,1545.64,0.68,29.0,39.71,1
T2-00197,heading,2,14.0,0.5,sunny,35.04,1519.73,1.87,17.46,71.17,0
T2-00198,seedling,2,14.0,0.5,cloudy,32.62,1536.54,1.75,23.28,72.96,0
T1-00199,maturity,1,12.5,0.45,cloudy,6.83,1556.46,0.59,33.21,77.75,0
T1-00200,grain_filling,1,12.5,0.45,cloudy,23.17,1556.19,1.52,29.32,45.53,0
T1-00201,panicle_initiation,1,12.5,0.45,cloudy,28.94,1556.08,1.72,29.89,43.4,0
T1-00202,seedling,1,12.5,0.45,heavy_rain,32.05,1524.31,1.18,20.83,83.95,0
T2-00203,maturity,2,14.0,0.5,cloudy,12.51,1525.54,0.99,23.64,85.63,0
T2-00204,maturity,2,14.0,0.5,heavy_rain,40.32,1531.19,0.29,28.68,84.34,2
T2-00205,tillering,2,14.0,0.5,heavy_rain,46.76,1537.64,0.27,26.6,90.19,2
T3-00206,seedling,3,15.5,0.65,cloudy,24.36,1519.76,1.59,26.09,66.66,0
T1-00207,panicle_initiation,1,12.5,0.45,heavy_rain,4.26,1549.09,1.51,22.62,92.26,1
T1-00208,tillering,1,12.5,0.45,cloudy,15.11,1548.04,1.82,29.07,66.93,0
T3-00209,maturity,3,15.5,0.65,sunny,4.57,1568.01,1.61,24.76,61.93,1
T3-00210,heading,3,15.5,0.65,heavy_rain,34.43,1557.6,1.36,38.02,7.5,1
T2-00211,panicle_initiation,2,14.0,0.5,heavy_rain,26.11,1542.33,1.66,28.43,75.76,0
T3-00212,seedling,3,15.5,0.65,sunny,7.92,1543.21,0.93,37.69,52.86,1
T2-00213,heading,2,14.0,0.5,heavy_rain,30.26,1536.49,1.03,23.69,73.86,0
T2-00214,panicle_initiation,2,14.0,0.5,sunny,27.14,1541.51,0.78,31.62,60.38,0
T1-00215,maturity,1,12.5,0.45,heavy_rain,18.28,1535.39,0.53,28.32,85.5,0
T3-00216,seedling,3,15.5,0.65,sunny,35.22,1518.37,0.62,24.24,56.52,0
T2-00217,panicle_initiation,2,14.0,0.5,cloudy,25.25,1536.51,1.17,32.26,77.05,0
T2-00218,panicle_initiation,2,14.0,0.5,heavy_rain,0.0,1557.15,1.42,31.4,51.94,1
T2-00219,grain_filling,2,14.0,0.5,sunny,23.28,1530.52,1.72,24.91,76.06,0
T3-00220,tillering,3,15.5,0.65,heavy_rain,0.83,1554.33,1.9,22.91,45.48,1
T3-00221,seedling,3,15.5,0.65,sunny,3.08,1550.25,1.46,29.99,68.72,1
T2-00222,seedling,2,14.0,0.5,heavy_rain,3.35,1552.61,1.27,31.06,43.98,1
T2-00223,maturity,2,14.0,0.5,sunny,8.52,1537.54,0.75,22.68,59.78,0
T3-00224,seedling,3,15.5,0.65,heavy_rain,7.39,1566.52,1.09,27.13,39.75,1
T1-00225,grain_filling,1,12.5,0.45,heavy_rain,8.44,1543.09,0.5,33.09,54.69,1
T2-00226,maturity,2,14.0,0.5,heavy_rain,41.12,1558.84,0.35,34.73,67.46,2
T2-00227,seedling,2,14.0,0.5,heavy_rain,5.03,1532.89,0.98,29.13,57.82,1
T2-00228,grain_filling,2,14.0,0.5,sunny,19.34,1534.7,1.67,24.32,89.57,0
T3-00229,panicle_initiation,3,15.5,0.65,sunny,3.69,1544.26,1.1,28.59,70.13,1
T1-00230,panicle_initiation,1,12.5,0.45,cloudy,2.88,1551.76,1.82,24.44,65.85,1
T3-00231,tillering,3,15.5,0.65,sunny,12.58,1509.3,1.36,19.99,68.41,0
T3-00232,panicle_initiation,3,15.5,0.65,heavy_rain,26.01,1553.48,0.84,33.38,66.05,0
T2-00233,maturity,2,14.0,0.5,heavy_rain,9.77,1530.84,1.85,25.32,90.24,0
T2-00234,grain_filling,2,14.0,0.5,sunny,13.82,1545.98,1.25,30.98,46.31,0
T1-00235,grain_filling,1,12.5,0.45,heavy_rain,6.47,1561.46,0.79,22.82,62.93,1
T3-00236,tillering,3,15.5,0.65,heavy_rain,8.68,1519.96,1.56,23.36,69.08,0
T2-00237,seedling,2,14.0,0.5,cloudy,5.05,1552.35,1.13,24.14,64.52,1
T1-00238,seedling,1,12.5,0.45,sunny,6.24,1549.02,1.0,32.9,50.21,1
T1-00239,maturity,1,12.5,0.45,heavy_rain,13.06,1557.94,1.54,37.13,74.49,0
T3-00240,grain_filling,3,15.5,0.65,cloudy,17.54,1538.17,1.51,32.05,62.48,0
T3-00241,grain_filling,3,15.5,0.65,heavy_rain,12.67,1524.74,0.9,24.7,64.84,0
T3-00242,heading,3,15.5,0.65,sunny,6.09,1560.51,1.4,31.18,41.78,1
T1-00243,grain_filling,1,12.5,0.45,cloudy,3.21,1556.77,1.15,28.02,66.84,1
T3-00244,seedling,3,15.5,0.65,sunny,3.64,1553.5,1.13,30.88,38.67,1
T3-00245,heading,3,15.5,0.65,heavy_rain,35.81,1538.56,1.71,29.89,77.06,0
T2-00246,maturity,2,14.0,0.5,cloudy,6.61,1543.79,0.56,28.64,63.14,0
T2-00247,seedling,2,14.0,0.5,sunny,31.89,1540.13,1.23,26.83,64.08,0
T3-00248,panicle_initiation,3,15.5,0.65,heavy_rain,0.62,1553.27,1.37,31.0,64.0,1
T1-00249,panicle_initiation,1,12.5,0.45,sunny,21.42,1518.11,1.79,20.14,38.9,0
T2-00250,seedling,2,14.0,0.5,heavy_rain,32.97,1525.77,0.62,20.8,74.4,0
T3-00251,tillering,3,15.5,0.65,cloudy,7.32,1532.28,0.59,27.78,63.4,0
T2-00252,seedling,2,14.0,0.5,heavy_rain,0.63,1549.29,1.42,26.38,73.96,1
T3-00253,seedling,3,15.5,0.65,sunny,0.3,1552.69,1.21,20.3,42.95,1
T1-00254,panicle_initiation,1,12.5,0.45,cloudy,32.33,1537.46,1.48,27.76,81.11,0
T2-00255,tillering,2,14.0,0.5,cloudy,13.12,1506.48,1.56,22.12,39.22,0
T3-00256,heading,3,15.5,0.65,cloudy,27.98,1572.82,1.08,38.21,22.35,1
T2-00257,panicle_initiation,2,14.0,0.5,sunny,30.85,1537.01,1.27,25.97,65.91,0
T3-00258,grain_filling,3,15.5,0.65,sunny,24.98,1559.6,0.91,33.15,82.89,0
T2-00259,heading,2,14.0,0.5,cloudy,29.33,1501.52,0.82,20.58,73.99,0
T3-00260,heading,3,15.5,0.65,heavy_rain,30.04,1529.26,1.71,20.38,59.08,0
T1-00261,maturity,1,12.5,0.45,heavy_rain,52.65,1534.75,0.38,27.53,64.66,2
T1-00262,panicle_initiation,1,12.5,0.45,sunny,25.83,1526.54,0.59,26.9,87.18,0
T1-00263,panicle_initiation,1,12.5,0.45,sunny,3.83,1548.26,1.58,29.73,69.19,1
T3-00264,seedling,3,15.5,0.65,cloudy,28.31,1539.34,0.59,27.67,67.85,0
T2-00265,seedling,2,14.0,0.5,heavy_rain,9.14,1545.16,2.03,30.65,37.01,1
T2-00266,maturity,2,14.0,0.5,cloudy,14.05,1528.47,0.95,22.55,42.35,0
T2-00267,grain_filling,2,14.0,0.5,heavy_rain,43.87,1525.9,0.36,26.78,61.39,2
T1-00268,tillering,1,12.5,0.45,cloudy,7.1,1561.27,1.16,23.91,42.08,1
T2-00269,tillering,2,14.0,0.5,cloudy,11.24,1553.08,1.13,29.13,91.48,0
T1-00270,panicle_initiation,1,12.5,0.45,heavy_rain,24.73,1532.65,0.59,24.98,59.0,0
T3-00271,heading,3,15.5,0.65,heavy_rain,31.59,1552.37,0.81,31.27,88.24,0
T3-00272,maturity,3,15.5,0.65,sunny,12.02,1540.15,0.64,31.12,46.95,0
T1-00273,tillering,1,12.5,0.45,sunny,15.56,1523.64,1.42,21.54,71.55,0
T1-00274,maturity,1,12.5,0.45,cloudy,6.12,1531.8,1.19,23.27,79.37,0
T2-00275,maturity,2,14.0,0.5,heavy_rain,11.56,1552.72,0.7,31.02,44.04,0
T2-00276,heading,2,14.0,0.5,sunny,36.35,1539.71,1.08,28.82,74.83,0
T2-00277,heading,2,14.0,0.5,sunny,1.8,1552.06,2.01,25.38,60.92,1
T3-00278,maturity,3,15.5,0.65,cloudy,12.3,1520.54,1.82,23.43,58.91,0
T1-00279,panicle_initiation,1,12.5,0.45,heavy_rain,21.3,1548.07,1.04,31.26,70.43,0
T3-00280,heading,3,15.5,0.65,sunny,30.26,1523.56,0.5,21.54,91.64,0
